Date;Technology Return;Financials Return;Energy Return;Technology Portfolio;Financials Portfolio;Energy Portfolio;Technology Return Weekly
04.09.22;-0.016890889;-0.005538944;0.01865643;76.08511677;81.22717964;150.9791901;-0.009762541
05.09.22;-0.016890889;-0.005538944;0.01865643;76.08511677;81.22717964;150.9791901;-0.010592061
06.09.22;-0.007752297;-0.007355551;-0.009462681;75.49528234;80.629709;149.5505222;-0.010303642
07.09.22;0.015335788;0.019498241;-0.010688077;76.65306197;82.20184651;147.9521146;-0.007703587
08.09.22;-0.002932185;0.02452745;0.009024916;76.42830097;84.2180482;149.28737;-0.008987464
09.09.22;0.023749986;0.008819784;0.022952942;78.24347205;84.9608332;152.7139544;-0.003181625
10.09.22;0.023749986;0.008819784;0.022952942;78.24347205;84.9608332;152.7139544;0.002624214
11.09.22;0.023749986;0.008819784;0.022952942;78.24347205;84.9608332;152.7139544;0.008430054
12.09.22;0.014867646;0.009238598;0.013776431;79.40676831;85.7457522;154.8178076;0.012966987
13.09.22;-0.059630326;-0.04396852;-0.023748291;74.67171686;81.97563835;151.1411493;0.00555584
14.09.22;0.003018166;-0.00020164;0.028310014;74.89708847;81.95910881;155.4199573;0.00379618
15.09.22;-0.020372892;0.012736472;-0.02353165;73.37121815;83.00297871;151.7626693;0.00130465
16.09.22;-0.008080365;-0.009792797;-0.019586184;72.77835193;82.1901474;148.7902176;-0.003242543
17.09.22;-0.008080365;-0.009792797;-0.019586184;72.77835193;82.1901474;148.7902176;-0.007789736
18.09.22;-0.008080365;-0.009792797;-0.019586184;72.77835193;82.1901474;148.7902176;-0.012336929
19.09.22;0.00949811;0.012165573;0.002536071;73.46960872;83.19003767;149.1675602;-0.013104005
20.09.22;-0.003388003;-0.019105394;-0.006733991;73.22069343;81.60065921;148.1630672;-0.005069388
21.09.22;-0.020448848;-0.024979053;-0.015431062;71.72341463;79.56235203;145.8767537;-0.008421818
22.09.22;0.000131973;-0.019315167;-0.002245251;71.7328802;78.02559188;145.5492237;-0.005492552
23.09.22;-0.014129958;-0.024361185;-0.06268756;70.71929764;76.12479602;136.425098;-0.006356779
24.09.22;-0.014129958;-0.024361185;-0.06268756;70.71929764;76.12479602;136.425098;-0.007221007
25.09.22;-0.014129958;-0.024361185;-0.06268756;70.71929764;76.12479602;136.425098;-0.008085234
26.09.22;-0.007140066;-0.017242441;-0.023571723;70.2143572;74.81221871;133.2093234;-0.010462117
27.09.22;-0.004078282;-0.006685038;0.011684602;69.92800326;74.31209619;134.7658213;-0.010560728
28.09.22;0.014234135;0.021560893;0.040074152;70.92336787;75.91433133;140.1664473;-0.005606016
29.09.22;-0.029288944;-0.015097027;0.000267992;68.84609735;74.76825062;140.2040109;-0.009809004
30.09.22;-0.019428378;-0.01294852;-0.010072033;67.50852935;73.80011247;138.7918714;-0.010565921
01.10.22;-0.019428378;-0.01294852;-0.010072033;67.50852935;73.80011247;138.7918714;-0.011322839
02.10.22;-0.019428378;-0.01294852;-0.010072033;67.50852935;73.80011247;138.7918714;-0.012079756
03.10.22;0.028989572;0.030942634;0.054065312;69.46557272;76.08368232;146.2956972;-0.006918379
04.10.22;0.026902833;0.046225745;0.036147734;71.33439339;79.6007072;151.5839552;-0.002492505
05.10.22;0.000694329;-0.012985814;0.027151507;71.38392292;78.56702723;155.699688;-0.004426763
06.10.22;-0.005683363;-0.018938326;0.02257068;70.9782222;77.07909923;159.2139358;-0.001054538
07.10.22;-0.03434915;-0.020484448;-0.00558142;68.54018057;75.5001764;158.3252959;-0.003186077
08.10.22;-0.03434915;-0.020484448;-0.00558142;68.54018057;75.5001764;158.3252959;-0.005317615
09.10.22;-0.03434915;-0.020484448;-0.00558142;68.54018057;75.5001764;158.3252959;-0.007449154
10.10.22;-0.00601354;-0.007228993;-0.021185345;68.12801146;74.95438615;154.97112;-0.012449599
11.10.22;-0.015528948;-0.025160868;-0.007279901;67.07005508;73.06846871;153.8429456;-0.018511282
12.10.22;-0.002415425;0.006848579;0.004902561;66.9080524;73.56888392;154.5971699;-0.018955532
13.10.22;0.029130318;0.048331357;0.040436803;68.85710526;77.12456791;160.8485853;-0.013982149
14.10.22;-0.026194519;-0.001346529;-0.030461957;67.05342651;77.02071741;155.9488226;-0.012817202
15.10.22;-0.026194519;-0.001346529;-0.030461957;67.05342651;77.02071741;155.9488226;-0.011652255
16.10.22;-0.026194519;-0.001346529;-0.030461957;67.05342651;77.02071741;155.9488226;-0.010487307
17.10.22;0.034516154;0.035103486;0.011565636;69.36785291;79.72441305;157.7524699;-0.004697351
18.10.22;0.006251453;0.025186376;0.006429205;69.8015028;81.73238213;158.7666929;-0.001585865
19.10.22;-0.004041193;-0.020303976;0.028419183;69.51942148;80.07288981;163.2787126;-0.001818118
20.10.22;-0.00203761;-0.005857896;0.003146226;69.37776801;79.60383116;163.7924244;-0.006270679
21.10.22;0.016982724;0.033860892;0.030592561;70.55599147;82.29928788;168.8032542;-0.000102501
22.10.22;0.016982724;0.033860892;0.030592561;70.55599147;82.29928788;168.8032542;0.006065676
23.10.22;0.016982724;0.033860892;0.030592561;70.55599147;82.29928788;168.8032542;0.012233854
24.10.22;0.012087951;0.006703495;0.006374047;71.40886882;82.8509807;169.8792141;0.009029825
25.10.22;0.023708384;0.012512853;-0.000746139;73.10185772;83.88768288;169.7524607;0.011523672
26.10.22;-0.042192962;0.007963801;0.011010667;70.01747383;84.5557477;171.6215485;0.006073419
27.10.22;-0.050638805;0.002860207;0.000559909;66.47187264;84.79759466;171.7176408;-0.000869609
28.10.22;0.047381267;0.013791171;0.00988337;69.62139418;85.96705282;173.4147897;0.00347304
